Название,Рейтинг,Кол-во серий,Длительность (мин),Жанры,Дата релиза,Тип оригинала,Авторы,Описание,Ссылка
Кондитерская «Антиква»,,12,25,"комедия, повседневность",04.07.2008,манга,Фудзивара Кэйдзи,"описания ещё нет
В ролях:
Фудзивара Кэйдзи
,
Мики Синъитиро
,
Мияно Мамору
,
Ханава Эйдзи",http://www.world-art.ru/animation/animation.php?id=6956
Чебурашка: Новый друг,8.1,1,5,"комедия, повседневность",22.04.2020,книга,Кугимия Риэ,"описания ещё нет
В ролях:
Кугимия Риэ
(озв.
Чебурашка
),
Сакурай Такахиро
(озв.
Гена
)",http://www.world-art.ru/animation/animation.php?id=10475
Драгонболл Супер: Броли,7.7,1,100,"приключения, фэнтези",14.12.2018,манга,,"События фильма происходят после аниме-сериала «Драконий жемчуг: Супер» и показывают историю появления могущественного сайяна Броли.
Король Вегета по собственным опасениям высылает младенца Броли на планету без разумной жизни Вампа. Его отец Парагус обещает отомстить королю и в надежде спасти своего сына отправляется за ним. Прилетев на планету и найдя сына, Парагус понимает, что улететь у них уже не получится. Но годы спустя шанс отомстить снова появляется, а Сону Гоку и Вегете теперь суждено встретить Броли.
текст добавлен
Evamerion",http://www.world-art.ru/animation/animation.php?id=9511
Скитальцы OVA-2,7.6,3,25,"приключения, фэнтези",23.12.2017,манга,,"Несмотря на то, что атака завершителей на Верлину была успешно отражена, война еще не закончилась. Армии монстров перегруппировываются, Черный Король усиливает свою хватку на уже завоеванной территории. Новые конфликты вспыхивают по всему Орте, поскольку его оставшиеся силы борются за сохранение контроля над давно угнетенными полу - человеческими расами.
В то время как завершители становятся все более мощными с каждым днем, Тоехиса Симадзу остается без сознания после тяжелых ранений, полученных во время битвы при Верлине. Сталкиваясь с врагами со всех сторон, судьба человечества все еще находится на острие ножа.
текст добавлен
zyto91",http://www.world-art.ru/animation/animation.php?id=9445
Жженый хлебушек,7.6,10,4,"комедия, драма",05.11.2001,,Мидзухара Рин,"Нелегко жить жженому хлебушку: как быть, если ты горелый и черствый, и уже никогда не станешь полноценной вкусной булкой?.. Нет ничего удивительного в том, что он депрессивен и уныл, много спит, часто уходит из дому, не любит нерадивых пекарей и имеет выраженную молокозависимость.
Истории из жизни жженого хлебушка, «отброса» булочного общества («это потому, что я горелый...») – без лозунгов, поучительных примеров и готовых рецептов.
автор Анастасия Розанова (редакционный текст)
=================
По воле случая в пекаре один хлебушек долго пролежал в духовке. Так на свет появился Жженый хлебушек - булочка, которая никогда не будет проданной.
текст добавлен
lilia_dei
В ролях:
Мидзухара Рин
,
Исида Акира
,
Кудзира
,
Орикаса Фумико
,
Ёсида Тэруми",http://www.world-art.ru/animation/animation.php?id=562
Севшие на хвост,7.6,1,30,"приключения, фантастика",16.10.2009,оригинальная идея,Хатано Ватару,"описания ещё нет
В ролях:
Хатано Ватару
(озв.
Сиро Томоэ
),
Юдзуки Рёка
(озв.
Томоэ Микагура
),
Миякэ Кэнта
(озв.
Гудспид
),
Обаяси Рюсукэ
(озв.
Лузер Кинг
),
Судзуки Кёсукэ
(озв.
Помощник
),
Канэмицу Нобуаки
(озв.
Олдмен
)",http://www.world-art.ru/animation/animation.php?id=7831
Жар-птица: Глава о Фениксе,7.6,1,60,"фэнтези, драма",20.12.1986,манга,Хори Кацуносукэ,"Средневековая Япония, судьба сводит на большой дороге двух совершено разных людей - скульптора Аканэмару и однорукого грабителя Дзетаро Хомма. Дзетаро грабит Акамэнамару и уходит прочь, но судьба уготовила им еще одну встречу на которой они встретятся совершено другими людьми.
текст добавлен
alesmon
В ролях:
Хори Кацуносукэ
(озв.
Дзётаро Хомма
),
Фурукава Тосио
(озв.
Аканэмару
),
Асагами Ёко
(озв.
Хаямэ
),
Кояма Мами
(озв.
Бути
),
Оцука Тикао
(озв.
Киби
),
Икэда Масако
(озв.
Феникс
)",http://www.world-art.ru/animation/animation.php?id=615
Клетки за работой: Тёмная сторона,7.6,13,25,приключения,10.01.2021,манга,Эноки Дзюнъя,"Юный эритроцит каждый день неустанно разносит кислород по телу. Но среда, где ему приходится работать, объята непроглядной тьмой… Алкоголизм, курение, стресс, нехватка сна… Что думают клетки, которые до изнеможения работают в мире, похожим на разваливающийся завод? Эта история о вашем теле…
автор wakanim
В ролях:
Эноки Дзюнъя
(озв.
Эритроцит AA2153
),
Кэнн
(озв.
Эритроцит AC1677
),
Хикаса Ёко
(озв.
Лейкоцит 1196
),
Линн
(озв.
Лейкоцит 8787
),
Утияма Юми
(озв.
Лейкоцит 1212
),
Наруми Такаси
(озв.
Главная клетка
),
Бридкатт Сара Эми
(озв.
Гепатоцит
)",http://www.world-art.ru/animation/animation.php?id=10470
Сначала (сезон первый),7.6,26,25,"комедия, романтика, драма, мистика",06.07.2003,видеоигра,Тай Юки,"описания ещё нет
В ролях:
Тай Юки
(озв.
Дзюнъити Асакура
),
Ногава Сакура
(озв.
Нэму Асакура
),
Тамура Юкари
(озв.
Сакура Ёсино
),
Хориэ Юй
(озв.
Котори Сиракава
),
Канда Акэми
(озв.
Михару Амакасэ
),
Ицуки Юй
(озв.
Моэ Мидзукоси
),
Мацуока Юки
(озв.
Мако Мидзукоси
)",http://www.world-art.ru/animation/animation.php?id=2494
Путь аса: Акт II [ТВ-1],7.6,52,25,"комедия, повседневность, спорт",02.04.2019,манга,Осака Рёта,"Вот и наступил второй год обучения для Эйджуна Савамуры в старшей школе Сэйдо. После осеннего отборочного турнира и турнира Дзинга его команда наконец добилась желанной цели — участия в весеннем национальном турнире Косиэн.
Новые команды, новые игроки, новые вызовы.
Что ждёт Савамуру и его товарищей? Как далеко они зайдут ради желанного звания национальных чемпионов? Добьётся ли успеха Сэйдо во главе с Тэшином Катаокой?
текст добавлен
xMaxWeLx
В ролях:
Осака Рёта
(озв.
Эйдзюн Савамура
),
Симадзаки Нобунага
(озв.
Сатору Фуруя
),
Ханаэ Нацуки
(озв.
Харуити Коминато
),
Сакурай Такахиро
(озв.
Кадзуя Миюки
),
Асанума Синтаро
(озв.
Ёити Курамоти
),
Утида Юма
(озв.
Косю Окумура
),
Мурасэ Аюму
(озв.
Каору Юй
)",http://www.world-art.ru/animation/animation.php?id=9888
Реальная девушка [ТВ-2],7.6,12,25,"романтика, комедия",09.01.2019,манга,Сэридзава Ю,"Хикари - старшеклассник, который никак не может найти общий язык со сверстниками. Устав от постоянных насмешек и издевок, он замкнулся в себе и стал одиночкой. Единственным увлечением парня является вымышленный двухмерный мир, в котором мечтательный юноша представляет себя влиятельным и могущественным. Иногда молодой человек даже теряет связь с реальностью, полностью погружаясь в собственные фантазии.
Однажды школьник получает выговор от директора школы. В качестве наказания парень должен вымыть школьный бассейн. В напарники ему достается очаровательная Ирохе. Красавица давно привыкла ко всеобщему вниманию. Но, неожиданно для самой себя, она вдруг увлекается тихим мечтательным Хикари и предлагает ему свою дружбу. А вскоре между молодыми людьми возникают взаимные романтические чувства. Так ничем не примечательный старшеклассник становится парнем самой красивой девушки в школе. Поначалу эта новость шокирует других учеников. Никто не верит в то, что ветреная красотка действительно влюблена в странноватого ботаника. Удастся ли молодым людям сохранить свою любовь, несмотря на отсутствие общих интересов? Сумеют ли влюбленные понять друг друга?
текст добавлен
vikiy
В ролях:
Сэридзава Ю
(озв.
Ироха Игараси
),
Уэниси Тэппэй
(озв.
Хикару Цуцуй
),
Аой Сёта
(озв.
Юто Ито
),
Цуда Минами
(озв.
Ариса Исино
),
Тэрасима Такума
(озв.
Мицуя Таканаси
),
Уэда Рэйна
(озв.
Сумиэ Аядо
),
Канда Саяка
(озв.
Эдзомити
)",http://www.world-art.ru/animation/animation.php?id=9729
Пупипо!,7.6,15,4,"комедия, романтика, повседневность",21.12.2013,манга,Сасаки Сихо,"Вакаба
– одна из тех несчастных младшеклассниц-духовидиц, которые есть почти во всякой анимешной школе. Она видит призраков и духов, за что единодушно нелюбима классом: считается, что у того, кто позвонит или напишет Вакабе, непременно поднимется температура, а тот, кто сядет с ней на одну парту, сляжет с простудой.
Но вот в один прекрасный (без кавычек) день в ее жизни появляются девочка
Рэйко Адзума
и загадочное существо
Пупипо
. Адзума перевелась в их школу из префектуры Нагано и обожает всё оккультное, поэтому тотчас прониклась к Вакабе, а Пупипо сидел в коробке с надписью «забери меня домой», был розовым, мягким и отгонял привидений. С тех пор жизнь Вакабы, хоть и не оскудела встречами со всякой нежитью, однако стала существенно веселее...
автор Анастасия Розанова (редакционный текст)
В ролях:
Сасаки Сихо
(озв.
Вакаба Химэдзи
),
Мори Тисато
(озв.
По-тян
),
Гото Май
(озв.
Рэйко Адзума
),
Оцука Котоми
(озв.
Наоя Юки
),
Ито Сэцуо
(озв.
Рёхэй Амэяма
),
Окубо Ханаэ
(озв.
Миёри Сонода
)",http://www.world-art.ru/animation/animation.php?id=2035
Великолепный кондитер [ТВ-2],7.6,13,25,комедия,03.10.2010,манга,Юки Аой,"После двухлетней стажировки во Франции Итиго Амано возвращается на родину, чтобы завершить обучение в кулинарной академии Св. Марии. Разумеется, юный кондитер полна радужных надежд и дальше постигать секреты профессии в компании трех Сладких Принцев, с которыми выиграла Кубок Мира, но ее поджидает жестокое разочарование. Жизнь идет, молодые таланты взрослеют быстро, в итоге Андо и Ханабуса покидают академию, чтобы вплотную заняться своим будущим. Что же третий принц, ненаглядный Макото Касино? По совокупности успехов он обгоняет Амано на целый год и дает понять, что готов продолжить разговор об отношениях лишь с той, кто ему как минимум не уступит…
Только не надо зазнаваться, парень! Из далекой Америки уже прибыл Джонни Мак-Бил, который горит желанием доказать, что ковбои Дикого Запада знают толк в и сладостях, и в женских сердцах. А так как Макото и Джонни оба кулинары и истинные джентльмены, они решат вопрос не грубым рукоприкладством, а состязанием в мастерстве во время работы над проектом, который предложил своим лучшим ученикам куратор академии, гениальный кулинар Анри Люка. В 16 лет истинным кондитерам уже хватит стоять за ученическими столами и плитами, пора работать профессионально и по-взрослому!
автор Hollow (редакционный текст)
=================
Персонажи первого сезона теперь учатся в старшей школе, повышая свои навыки, чтобы стать кондитерами. Там будет романтика, драма и мечты, разбитые и новые.
текст добавлен
lilia_dei
В ролях:
Юки Аой
(озв.
Итиго Амано
),
Окамото Нобухико
(озв.
Макото Касино
),
Хамадзоэ Синъя
(озв.
Сэнносукэ Андо
),
Ёнага Цубаса
(озв.
Сацуки Ханабуса
),
Исэ Мария
(озв.
Лимон Ямагиси
),
Суяма Акио
(озв.
Джонни
),
Такэтацу Аяна
(озв.
Ванилла
)... и еще
10 чел.",http://www.world-art.ru/animation/animation.php?id=7937
Дело ведёт юный детектив Киндаити: Возвращение [ТВ-2],7.8,22,25,"приключения, детектив",03.10.2015,манга,Мацуно Тайки,"Хаджимэ Киндаичи — лучший детектив в Японии. Он возвращается в компании своей верной подруги Миюки Нанасэ, чтобы открыть ещё больше тайн и секретов, демонстрируя зрителю удивительную смекалку, острейший ум и дедукцию.
текст добавлен
Evamerion
В ролях:
Мацуно Тайки
(озв.
Хадзимэ Киндайти
),
Накагава Акико
(озв.
Миюки Нанасэ
),
Косуги Дзюрота
(озв.
Исаму Кэммоти
),
Морикава Тосиюки
(озв.
Кэнго Акэти
),
Оно Кэнъити
(озв.
Ёити Такато
)",http://www.world-art.ru/animation/animation.php?id=8399
Человек-линза [ТВ],7.8,25,25,"приключения, фантастика",06.10.1984,книга,Фурукава Тосио,"описания ещё нет
В ролях:
Фурукава Тосио
,
Кояма Мами
,
Гинга Бандзё
,
Нода Кэйити
,
Судзуки Томико
,
Нагай Итиро
,
Сибата Хидэкацу",http://www.world-art.ru/animation/animation.php?id=464
Иксион-сага: Другое измерение,7.6,25,25,"приключения, комедия, фэнтези",08.10.2012,видеоигра,Эгути Такуя,"Серьезный геймер
Кон Хокадзэ
, блуждая по любимой РПГ, согласился на предложение экранной воительницы встретиться и чем-то помочь. Вот только вместо поисков неведомой девушки-игрока в шумном Токио, герой провалился в техномагический мир - причем как был, в кресле, носках и наушниках. По прибытии Кон, сам того не желая, помог юной
принцессе Экарлайт
, которая направлялась в столицу державы, чтобы выйти за иноземного принца и тем самым предотвратить грядущую войну. «Рыцарь летающего кресла» эффектным появлением смешал ряды атаковавших кортеж гвардейцев герцога
Эрека
, лидера местных «ястребов», а вскоре сумел как следует удивить и самого герцога!
Сообразив, что к чему, и разобравшись в ситуации, Хокадзэ понял, что попал по-крупному. От отряда принцессы осталась горстка людей, миссия их тайная, ибо многие лорды империи не согласны с политическим браком, так что помощи ждать особо неоткуда. Разъяренный герцог объявил пришлого чужака личным врагом, а в одиночку Кону в чужом мире не скрыться. Осталось принять щедрое предложение и продолжить путь вместе с языкастой малышкой-принцессой, симпатичной горничной
Мариан
и знаменитым воином
Сандгреном
. А там либо до цели доберутся, либо откроется дорога в свой мир, либо покажется, наконец, таинственная красотка и объяснит, что же ей от бедного парня нужно!
автор Hollow (редакционный текст)
В ролях:
Эгути Такуя
(озв.
Кон Хокадзэ
),
Камия Хироси
(озв.
Эрекпайл
),
Накай Кадзуя
(озв.
Сандгрен
),
Миками Сиори
(озв.
Принцесса Экарлайт
),
Хосоя Ёсимаса
(озв.
Пет
),
Кадзи Юки
(озв.
Вариасион
),
Сугита Томокадзу
(озв.
Леон
)",http://www.world-art.ru/animation/animation.php?id=1087
Пляжные приключения Муроми,7.6,13,12,комедия,07.04.2013,манга,Тамура Юкари,"Старшеклассник
Такуро Мукодзима
обожает рыбачить, отдыхая душой в тишине на пустынном берегу. Идиллия длилась недолго: однажды юный удильщик взмахнул верным спиннингом и выловил русалку
Муроми
– особу очень милую и общительную. Зеленоволосая гостья, истомившаяся от однообразия морской жизни (японские русалки, как известно, бессмертны), подружилась с парнем и стала регулярно его навещать, болтая о том о сём, знакомя со своими подругами, и даже дала номер телефона!
Сначала Такуро, которого новая знакомая прозвала Таккун, жалел об утраченном покое, а потом, как говорится, втянулся. Муроми – девушка интересная, с ней никогда не скучно, а главное, можно узнать столько нового – к примеру, о падении континента Му, тайфунах-камикадзэ, подводных дворцах и истинном облике гималайского йети! А уж подруги и родственницы у русалочки такие, что иных и захочешь – долго не забудешь. В общем, жизнь у кромки прибоя пошла веселая, только не забывайте - никогда и ни за что не стоит спрашивать морских жительниц о возрасте!
автор Hollow (редакционный текст)
В ролях:
Тамура Юкари
(озв.
Муроми
),
Харада Хитоми
(озв.
Фудзи
),
Мидзусима Такахиро
(озв.
Такуро Мукодзима
),
Накахара Май
(озв.
Ливая
),
Нонака Ай
(озв.
Хии
),
Сакай Канако
(озв.
Гарпи
),
Уэсака Сумирэ
(озв.
Сумида
)",http://www.world-art.ru/animation/animation.php?id=5791
Любовная сцена! OVA,,1,25,"комедия, романтика, повседневность",22.11.2014,манга,,описания ещё нет,http://www.world-art.ru/animation/animation.php?id=2289
Штурмовые ведьмы [ТВ-2],7.6,12,25,"приключения, фантастика, этти",08.07.2010,оригинальная идея,Фукуэн Мисато,"На параллельную Землю, по развитию похожую на наш мир середины XX века, явились таинственные захватчики-Неврои. Их удары опустошили целые страны, а обычное земное оружие оказалось бессильно против пришельцев. Спасение пришло из содружества науки и магии в виде «штурмовых ведьм» - юных девушек, одаренных волшебными силами и использующих гибрид сдвоенной ведьминой ступы и боевого истребителя. Недавние страны-противники объединились и направили лучших из лучших в легендарную 501-ю сводную эскадрилью, которая выиграла битву за Британию и очистила от Невроев Западную Европу.
Прошло полгода. Главная героиня Ёсика Мияфудзи вернулась на родину в империю Фусо, окончила среднюю школу и приготовилась к карьере целительницы в семейной клинике. Тут ее и застали новые повороты судьбы: письмо от отца, давно пропавшего без вести, и сообщение о втором ударе Невроев, теперь в Южной Европе. Пришлось пацифистке Ёсике снова возвращаться на службу, чтобы вместе со старыми подругами защитить любимую планету и окончательно разобраться в исчезновении отца. Да и с Невроями пора уже подружиться – в духе Нанохи Такамати!
автор Hollow (редакционный текст)
В ролях:
Фукуэн Мисато
(озв.
Ёсика Мияфудзи
),
Сэто Саори
(озв.
Мио Сакамото
),
Надзука Каори
(озв.
Линетта
),
Савасиро Миюки
(озв.
Перрин
),
Танака Риэ
(озв.
Минна
),
Сонодзаки Миэ
(озв.
Гертруда
),
Ногава Сакура
(озв.
Эрика
)",http://www.world-art.ru/animation/animation.php?id=2561
"Тёко, сестренка",7.6,24,25,"комедия, романтика, этти",12.07.2006,манга,Сайто Момоко,"описания ещё нет
В ролях:
Сайто Момоко
,
Хиракава Дайсукэ
,
Мидзухаси Каори
,
Моринага Рика
,
Охара Саяка
,
Кобаяси Юмико
,
Мацуока Юки",http://www.world-art.ru/animation/animation.php?id=5769
Семья шпиона [ТВ-2],7.6,12,25,"приключения, комедия",07.10.2023,манга,Эгути Такуя,"описания ещё нет
В ролях:
Эгути Такуя
(озв.
Лойд
),
Танэдзаки Ацуми
(озв.
Аня
),
Хаями Саори
(озв.
Йор
),
Мацуда Кэнъитиро
(озв.
Бонд
),
Ёсино Хироюки
(озв.
Франки
),
Кайда Юко
(озв.
Сильвия
),
Ямадзи Кадзухиро
(озв.
Генри
)",http://www.world-art.ru/animation/animation.php?id=11599
Детское подразделение [ТВ],7.6,24,25,"приключения, фантастика, меха",09.10.2002,оригинальная идея,Нагата Рёко,"описания ещё нет
В ролях:
Нагата Рёко
,
Хирано Ая
,
Мидзухаси Каори
,
Аоба Го
,
Дой Мика
,
Куватани Нацуко
,
Фукуяма Дзюн
... и еще
43 чел.",http://www.world-art.ru/animation/animation.php?id=2407
Пластиковая сестрёнка,7.6,12,2,комедия,16.05.2011,манга,Кано Мари,"описания ещё нет
В ролях:
Кано Мари
(озв.
Нэ-сан
),
Утияма Юми
(озв.
Окаппа
),
Иноуэ Марина
(озв.
Макимаки
)",http://www.world-art.ru/animation/animation.php?id=5523
Кулак Северной звезды OVA-1,7.7,1,60,"приключения, боевые искусства",23.02.2007,манга,Абэ Хироси,"Легенда о Юрии - кто она такая и какова её судьба, о молодости Кенширо и о том как он стал приемником.
текст добавлен
pino28kkio
В ролях:
Абэ Хироси
(озв.
Кэнсиро
),
Исида Юрико
(озв.
Юрия
),
Укадзи Такаси
(озв.
Рао
),
Дэвид Ито
(озв.
Дзяги
),
Оцука Тикао
(озв.
Рюкэн
),
Хориути Кэнъю
(озв.
Токи
),
Гори Дайсукэ
(озв.
Фудо
)... и еще
10 чел.",http://www.world-art.ru/animation/animation.php?id=6405
Джет Марс,7.8,27,25,"приключения, комедия",03.02.1977,оригинальная идея,Симидзу Мари,"описания ещё нет
В ролях:
Симидзу Мари
(озв.
Марс
),
Мацуо Ёсико
(озв.
Мири
),
Ная Горо
(озв.
Префессор Яманоуэ
),
Кацута Хисаси
(озв.
Профессор Кавасимо
),
Сираиси Фуюми
(озв.
Мельти
)",http://www.world-art.ru/animation/animation.php?id=609
Ультраманьяк,7.6,26,25,"комедия, романтика, махо-сёдзё",20.05.2003,манга,Хориэ Юй,"Аю Татэиши — член теннисного клуба, милая и очень популярная девушка. Однако, в душе она довольно обычная, не жаждущая известности, влюбленная в Тэцуши восьмиклассница. Тэцуши — школьный идол, лидер баскетбольной команды средней школы Хидэо, внимания которого добиваются десятки поклонниц.
У Аю есть фанатка, переведенная школьница Нина Сакура. У Нины есть большой секрет: ведь она — ведьма, прибывшая из магического королевства. С помощью своего волшебного компьютера и магической шкатулки, она хочет помочь новым друзьям и Аю в любовных делах. Но ее магия никогда не действует нормально и приносит только большие проблемы!
Вернемся к парням: у нас есть Тэцуши, лидер и сильнейший игрок баскетбольной команды, популярный среди девушек, и его лучший друг, тихий и спокойный член теннисного клуба, Хироки, а также многие другие.
Любовные перипетии разворачиваются в средней школе Хидэо между красавицей Аю, молодой ведьмой Ниной, баскетбольной звездой Тэцуши и спокойным Хироки.
текст добавлен
Makkensi
В ролях:
Хориэ Юй
,
Канда Акэми
,
Камия Хироси
,
Тиба Сусуму
,
Такаги Рэйко
,
Тиба Саэко
,
Ямагиси Исао
... и еще
10 чел.",http://www.world-art.ru/animation/animation.php?id=3169
Покемон (фильм 03),7.6,1,70,"приключения, комедия",08.07.2000,,Мацумото Рика,"Трехлетняя Молли Хэйл - круглая сирота, ее родители бесследно исчезли в археологической экспедиции. Однажды, вспоминая папу и маму, девочка случайно взывает к могущественным покемонам, способным воплотить ее самые желанные грезы. Но попытка воскрешения родных оборачивается трагедией. Девочка оказывается заточенной в хрустальном замке таинственных Аноунов, столетия считавшихся мифическими. Узнав о случившемся, на помощь крохе спешат наши старые знакомые - Эш Кетчам и его верный друг Пикатю.
В ролях:
Мацумото Рика
,
Отани Икуэ
,
Иидзука Маюми
,
Уэда Юдзи
,
Короги Сатоми
,
Хаясибара Мэгуми
,
Мики Синъитиро",http://www.world-art.ru/animation/animation.php?id=261
Последняя фантазия VII OVA-1,7.6,1,25,"приключения, фэнтези",14.09.2005,видеоигра,Судзумура Кэнъити,"описания ещё нет
В ролях:
Судзумура Кэнъити
,
Морикава Тосиюки
,
Сакурай Такахиро
,
Ито Аюми
,
Сувабэ Дзюнъити
,
Фудзивара Кэйдзи
,
Кусуноки Тайтэн",http://www.world-art.ru/animation/animation.php?id=4864
Фарс убитой нежити,7.6,13,25,"детектив, фэнтези",06.07.2023,книга,Куросава Томоё,"На дворе конец девятнадцатого века. Мир кишмя кишит вампирами, оборотнями и прочими существами, которых обычные люди сторонятся и ненавидят. Жизнь демоноборца Цугару Синъути круто меняется, когда по его душу приходит голова красавицы в позолоченной птичьей клетке. Ая Риндо — бессмертная, чьё тело было отнято насильно. И теперь она вместе со своей служанкой Сидзуку Хасэй и Цугару планирует исколесить всю Европу, расследовать загадочные преступления и отыскать своего обидчика.
автор crunchyroll
В ролях:
Куросава Томоё
(озв.
Ая Риндо
),
Ясиро Таку
(озв.
Цугару Синъути
),
Коити Макото
(озв.
Сидзуку Хасэй
),
Судзусиро Саюми
(озв.
Анни
),
Мики Синъитиро
(озв.
Холмс
),
Айдзава Масаки
(озв.
Ватсон
),
Мияно Мамору
(озв.
Люпен
)... и еще
9 чел.",http://www.world-art.ru/animation/animation.php?id=11702
Рэйв Мастер,7.6,51,25,"приключения, комедия, романтика, фэнтези",13.10.2001,манга,Сэки Томокадзу,"Команда героев Rave Master включает глуповатого паренька Хару, любительницу азартных игр Эли и их четвероногого питомца Плю, который то ли собака, то ли жук, то ли кот (и при этом маскот сериала). У Хару одна из ранних копий меча Гатса из «Берсерка», у Эли – беда с воспоминаниями, а Плю удивляет на каждом шагу: только что он сидел и трясся в сторонке, а пять минут спустя напился и превратился в «того самого пса пьяного мастера», способного охладить пыл даже нетрезвого Ли Рока из «Наруто».
Хару странствует в поисках частей магического «светлого» камня Рэйва, потерянных в катаклизме полстолетия назад. Одним из таких камней его наградил Сиба, Рэйв Мастер, в свое время остановившийся в паре шагов от уничтожения «материнского» Дарк Бринга, подпитывающего все подобные ему «дьявольские» камни: безмерно усиливающие мощь владельцев, они используются в темных делах членами организации «Демон Кард».
автор Ярослав Гафнер (редакционный текст)
В ролях:
Сэки Томокадзу
,
Кавасуми Аяко
,
Юкидзи
,
Морикубо Сётаро
,
Юкино Сацуки
,
Тиба Сусуму
,
Нисимура Томомити
... и еще
37 чел.",http://www.world-art.ru/animation/animation.php?id=3567
Любовь похожа на прошедший дождь,7.6,12,25,романтика,12.01.2018,манга,Ватабэ Саюми,"«Мне нравится, когда волосы слегка взъерошены. И когда ширинка иногда бывает
расстегнута. И когда он громко чихает». Именно так семнадцатилетняя Акира Татибана
описывает парня своей мечты, и этот странный портрет срисован с натуры –
старшеклассница влюблена в сорокапятилетнего Масами Кондо, менеджера сетевого
ресторана, где она подрабатывает официанткой. Акира полна решимости и намерена
добиться взаимности любой ценой, вот только разведенного неудачника Масами
отношения, тем более со школьницами, совсем не интересуют – от грандиозных
юношеских планов у него остались одни разочарования. Впрочем, и Акира, еще даже не
окончив школу, уже успела поставить крест на своей мечте – из-за травмы она была
вынуждена уйти из секции легкой атлетики, где подавала большие надежды. Так
начинается история двух человек, каждый из которых пережидает свой собственный
дождь – но ведь не случайно же в тот пасмурный день, когда они встретились, ливень
прекратился, а на ясном небе засияло солнце!
автор laci (редакционный текст)
=================
Акира — одинокая и спокойная девушка, которая раньше состояла в клубе легкой атлетики. Сейчас же она работает на полставки в семейном ресторанчике рядом с домом возлюбленного, своего начальника... 45-летнего разведенного мужчины.
текст добавлен
binary_code
В ролях:
Ватабэ Саюми
(озв.
Акира Татибана
),
Хирата Хироаки
(озв.
Масами Кондо
),
Миядзима Эми
(озв.
Харука Киян
),
Фукухара Харука
(озв.
Юй Нисида
),
Икэда Дзюнъя
(озв.
Такаси Ёсидзава
),
Маэно Томоаки
(озв.
Рёсукэ Касэ
)",http://www.world-art.ru/animation/animation.php?id=9152
Молчаливая ведьма,7.6,13,25,"приключения, фэнтези",05.07.2025,ранобэ,Айдзава Сая,"описания ещё нет
В ролях:
Айдзава Сая
(озв.
Моника
),
Набатамэ Хитоми
(озв.
Неро
),
Саката Сёго
(озв.
Феликс
),
Накадзима Ёсики
(озв.
Сирил
),
Кимура Рёхэй
(озв.
Эллиот
),
Сакакихара Юки
(озв.
Нил
),
Хикаса Ёко
(озв.
Бриджит
)",http://www.world-art.ru/animation/animation.php?id=12186
Становясь волшебницей [ТВ-1],,13,25,"комедия, фэнтези, эротика",03.01.2024,манга,Идзуми Фуука,"описания ещё нет
В ролях:
Идзуми Фуука
(озв.
Утэна Хиираги
),
Кога Аой
(озв.
Киви Арага
),
Сугиура Сиори
(озв.
Корису Морино
),
Маэда Каори
(озв.
Харука Ханабиси
),
Кадзама Маюко
(озв.
Саё Минаками
),
Икэда Мисаки
(озв.
Каоруко Тэнкава
),
Айсака Юка
(озв.
Матама Акоя
)",http://www.world-art.ru/animation/animation.php?id=11687
Секс-коммандо: Масару - это круто!,7.7,48,8,"приключения, комедия",06.01.1998,манга,Уэда Юдзи,"Окомэцубу Фудзияма отправляется в новую школу. У него большие планы: он должен наконец-то завести себе друзей. Много. СТО новых друзей для Фудзиямы! До сегодняшнего дня он никак не мог найти друзей – часто переезжал, менял школы, был нелюдимым... но всё это в прошлом. Сегодня начнется новая жизнь!..
И так оно и вышло: в новой школе он встретился с удивительным учеником по имени Масару Хананакадзима, мастером боевой школы «Сексуальный Спецназ». Масару-сан открыл в себе призвание создать и возглавить Секс-Спецназ, способный побеждать врагов, спустив штаны. Волшебство стреноженной «цыплячьей» походки и эффект сокрушительной внезапности появления трусов – ни бокс, ни карате, ни дзюдо не сравнятся с силой секс-спецназовцев.
Итак, «вам не следует смотреть это аниме, если вы моралист, зануда или паинька. Да, и вот еще что: НИКАКОЙ критики!..»
автор Анастасия Розанова (редакционный текст)
В ролях:
Уэда Юдзи
,
Канэмару Дзюнъити
,
Итидзё Кадзуя
,
Нагасима Юйти
,
Иноэ Кадзухико
,
Такахаси Хироси
,
Кониси Хироко",http://www.world-art.ru/animation/animation.php?id=468
Легенда о Хикари,7.9,19,25,"романтика, спорт, повседневность",03.05.1986,манга,Ито Цукаса,"описания ещё нет
В ролях:
Ито Цукаса
,
Тобита Нобуо
,
Томидзава Митиэ
,
Иноэ Ёсимаса
,
Ёсида Рихоко
,
Кодзиро Тиэ
,
Ито Мики",http://www.world-art.ru/animation/animation.php?id=534
